Day of week,Energy,Week Day,Year,Month,Day of month,Sum
1.0,58.248383,1.0,2018.0,9.0,10.0,518.29224
1.0,48.988693,1.0,2018.0,9.0,10.0,567.28094
1.0,50.291897,1.0,2018.0,9.0,10.0,617.5728
1.0,37.63211,1.0,2018.0,9.0,10.0,655.20496
1.0,31.462017,1.0,2018.0,9.0,10.0,686.66693
1.0,26.973787,1.0,2018.0,9.0,10.0,713.64075
1.0,27.701435,1.0,2018.0,9.0,10.0,741.34216
1.0,19.521387,1.0,2018.0,9.0,10.0,760.8636
1.0,13.295241,1.0,2018.0,9.0,10.0,774.1588
1.0,6.7981277,1.0,2018.0,9.0,10.0,780.9569
1.0,3.6336749,1.0,2018.0,9.0,10.0,784.59064
2.0,0.88431215,1.0,2018.0,9.0,11.0,0.88431215
2.0,1.4526879,1.0,2018.0,9.0,11.0,2.337
2.0,0.0,1.0,2018.0,9.0,11.0,2.337
2.0,1.989253,1.0,2018.0,9.0,11.0,4.326253
2.0,0.49271017,1.0,2018.0,9.0,11.0,4.818963
2.0,2.7705598,1.0,2018.0,9.0,11.0,7.5895233
2.0,10.507714,1.0,2018.0,9.0,11.0,18.097237
2.0,32.253426,1.0,2018.0,9.0,11.0,50.350662
2.0,71.45979,1.0,2018.0,9.0,11.0,121.810455
2.0,91.33068,1.0,2018.0,9.0,11.0,213.14114
2.0,91.673645,1.0,2018.0,9.0,11.0,304.8148
2.0,69.28118,1.0,2018.0,9.0,11.0,374.09595
2.0,59.570415,1.0,2018.0,9.0,11.0,433.66638
2.0,72.14935,1.0,2018.0,9.0,11.0,505.81573
2.0,45.599182,1.0,2018.0,9.0,11.0,551.4149
2.0,31.022669,1.0,2018.0,9.0,11.0,582.43756
2.0,22.473297,1.0,2018.0,9.0,11.0,604.9109
2.0,21.066607,1.0,2018.0,9.0,11.0,625.9775
2.0,30.143606,1.0,2018.0,9.0,11.0,656.1211
2.0,53.414654,1.0,2018.0,9.0,11.0,709.53577
2.0,63.5246,1.0,2018.0,9.0,11.0,773.06036
2.0,44.534466,1.0,2018.0,9.0,11.0,817.59485
2.0,26.750736,1.0,2018.0,9.0,11.0,844.3456
2.0,11.448721,1.0,2018.0,9.0,11.0,855.79425
3.0,6.0760813,1.0,2018.0,9.0,12.0,6.0760813
3.0,4.970895,1.0,2018.0,9.0,12.0,11.046976
3.0,4.650114,1.0,2018.0,9.0,12.0,15.69709
3.0,4.8496094,1.0,2018.0,9.0,12.0,20.5467
3.0,4.386802,1.0,2018.0,9.0,12.0,24.933502
3.0,3.2544835,1.0,2018.0,9.0,12.0,28.187984
3.0,5.5550404,1.0,2018.0,9.0,12.0,33.743027
3.0,14.809283,1.0,2018.0,9.0,12.0,48.552307
3.0,47.731,1.0,2018.0,9.0,12.0,96.28331
3.0,75.32334,1.0,2018.0,9.0,12.0,171.60666
3.0,69.193275,1.0,2018.0,9.0,12.0,240.79993
3.0,43.93948,1.0,2018.0,9.0,12.0,284.7394
3.0,33.254604,1.0,2018.0,9.0,12.0,317.99402
3.0,26.492434,1.0,2018.0,9.0,12.0,344.48645
3.0,15.650713,1.0,2018.0,9.0,12.0,360.13715
3.0,17.676056,1.0,2018.0,9.0,12.0,377.8132
3.0,22.663595,1.0,2018.0,9.0,12.0,400.4768
3.0,27.11315,1.0,2018.0,9.0,12.0,427.58997
3.0,27.834446,1.0,2018.0,9.0,12.0,455.4244
3.0,39.671005,1.0,2018.0,9.0,12.0,495.0954
3.0,44.25583,1.0,2018.0,9.0,12.0,539.35126
3.0,34.858112,1.0,2018.0,9.0,12.0,574.20935
3.0,20.1857,1.0,2018.0,9.0,12.0,594.395
3.0,10.657956,1.0,2018.0,9.0,12.0,605.053
4.0,10.586062,1.0,2018.0,9.0,13.0,10.586062
4.0,7.321278,1.0,2018.0,9.0,13.0,17.907341
4.0,2.3193266,1.0,2018.0,9.0,13.0,20.226667
4.0,1.0709962,1.0,2018.0,9.0,13.0,21.297663
4.0,1.6880175,1.0,2018.0,9.0,13.0,22.985682
4.0,3.868574,1.0,2018.0,9.0,13.0,26.854256
4.0,8.002777,1.0,2018.0,9.0,13.0,34.857033
4.0,21.551563,1.0,2018.0,9.0,13.0,56.408596
4.0,40.018753,1.0,2018.0,9.0,13.0,96.42735
4.0,84.111595,1.0,2018.0,9.0,13.0,180.53894
4.0,82.00742,1.0,2018.0,9.0,13.0,262.54636
4.0,62.985023,1.0,2018.0,9.0,13.0,325.53137
4.0,43.55416,1.0,2018.0,9.0,13.0,369.08554
4.0,33.00015,1.0,2018.0,9.0,13.0,402.0857
4.0,40.925156,1.0,2018.0,9.0,13.0,443.01086
4.0,31.605097,1.0,2018.0,9.0,13.0,474.61594
4.0,27.608475,1.0,2018.0,9.0,13.0,502.22443
4.0,30.040583,1.0,2018.0,9.0,13.0,532.265
4.0,34.334324,1.0,2018.0,9.0,13.0,566.5993
4.0,60.76115,1.0,2018.0,9.0,13.0,627.3605
4.0,59.289833,1.0,2018.0,9.0,13.0,686.6503
4.0,29.611067,1.0,2018.0,9.0,13.0,716.26135
4.0,12.694109,1.0,2018.0,9.0,13.0,728.9555
4.0,9.202417,1.0,2018.0,9.0,13.0,738.1579
5.0,10.142811,1.0,2018.0,9.0,14.0,10.142811
5.0,11.525276,1.0,2018.0,9.0,14.0,21.668087
5.0,11.470263,1.0,2018.0,9.0,14.0,33.13835
5.0,6.798433,1.0,2018.0,9.0,14.0,39.936783
5.0,6.8832927,1.0,2018.0,9.0,14.0,46.820076
5.0,7.0114903,1.0,2018.0,9.0,14.0,53.831566
5.0,13.372467,1.0,2018.0,9.0,14.0,67.20403
5.0,40.092655,1.0,2018.0,9.0,14.0,107.29669
5.0,53.039562,1.0,2018.0,9.0,14.0,160.33624
5.0,77.07839,1.0,2018.0,9.0,14.0,237.41464
5.0,79.03454,1.0,2018.0,9.0,14.0,316.4492
5.0,67.62382,1.0,2018.0,9.0,14.0,384.073
5.0,53.454395,1.0,2018.0,9.0,14.0,437.5274
5.0,38.534344,1.0,2018.0,9.0,14.0,476.06174
5.0,21.971823,1.0,2018.0,9.0,14.0,498.03357
5.0,22.613827,1.0,2018.0,9.0,14.0,520.6474
5.0,21.860903,1.0,2018.0,9.0,14.0,542.5083
5.0,39.907063,1.0,2018.0,9.0,14.0,582.41534
5.0,41.60461,1.0,2018.0,9.0,14.0,624.01996
5.0,39.951466,1.0,2018.0,9.0,14.0,663.97144
5.0,37.883785,1.0,2018.0,9.0,14.0,701.8552
5.0,29.20519,1.0,2018.0,9.0,14.0,731.0604
5.0,14.570032,1.0,2018.0,9.0,14.0,745.63043
5.0,11.537723,1.0,2018.0,9.0,14.0,757.16815
6.0,5.014543,0.0,2018.0,9.0,15.0,5.014543
6.0,0.83713555,0.0,2018.0,9.0,15.0,5.851679
6.0,2.3123229,0.0,2018.0,9.0,15.0,8.164001
6.0,3.9283314,0.0,2018.0,9.0,15.0,12.092333
6.0,2.4737523,0.0,2018.0,9.0,15.0,14.566085
6.0,0.8739085,0.0,2018.0,9.0,15.0,15.439994
6.0,5.5493627,0.0,2018.0,9.0,15.0,20.989357
6.0,3.6116738,0.0,2018.0,9.0,15.0,24.60103
6.0,17.002213,0.0,2018.0,9.0,15.0,41.60324
6.0,33.522305,0.0,2018.0,9.0,15.0,75.12555
